مثني	مَثْنِيّ,مُثَنَّى
فلانا	آنا,فَلّ,فَلَى-ِ,فُلان,أَنا,لِأَنَّ,فَلَّى,فَلاً
جناح	جُناح,جَناح
تزوج	زَوَّج,تَزَوَّج,تَزَوُّج
اقام	أَقام
اعرابي	أَعْرابِيّ,عَرَبِيّ,إِعْراب
يؤذن	أَذَّن,آذَن
وجدت	وَجَد-ِ,جَدا,جاد,جَدّ-ِ
معتمر	مُعْتَمِر
لعائشة	عائِش
ظهره	ظَهْر,ظُهْر,ظَهَر-َ,ظَهَّر
تعلم	أَعْلَم,تَعَلَّم,عَلِم-َ,تَعَلُّم,عَلَّم
تاكل	أَكَل
العوام	عَوّام,عامَّة
اغتسل	ٱِغْتَسَل
وثلاثين	ثَلاثُون
لست	لَيْسَ,سِتّ,لاس
قليلا	قَلِيل
قاعدا	قاعِد
زمعة	NOTFOUND
حنظلة	حَنْظَل
الزكاة	زَكاة
لرجل	رَجُل,رَجَّل,رِجْل,رَجِل-َ
فسال	سال-ِ,وَلِي-ِ
فجاءت	جاء
فجئت	فَجِئ-َ,جاء
فارس	رَسا,رَسَّى,فارِس,أَرْسَى,أَرَس-ِ
تصلي	وَصَل-ِ,صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى,تَصَلَّى
بيتي	بَيْتِيّ,بَيْت
بمني	مُنَى,مَنّ,مِنَى,مَنَى
القراءة	قِراءَة
الشعر	شِعْر,شَعْر
الخولاني	NOTFOUND
التمر	تَمْر
البر	بَرّ,بِرّ,بُرّ
واصل	أَصْل,أَصَلَة,صال,صَلَّى,صَلِي-َ,وَصَل-ِ,صَلَى-ِ,أَصْلَى,واصِل,واصَل
فبلغ	بَلُغ,بُلْغَة,بَلَغ,بَلَّغ
عندنا	عِنْدَ,عَنِد-َ
عم	عَمّ
شيخ	شَيْخ
اشهر	شَهَّر,أَشْهَر,شَهْر,شَهَر-َ
احدنا	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدا,حَدّ
واخبرني	خَبُر,أَخْبَر,خَبَر,خَبَّر
نصلي	صَلَّى,صَلِي-َ,صَلَى-ِ,أَصْلَى,نَصْل
لئن	لَئِن,لَئِنَّ
